[ 1.63547075e+00  8.06324608e-01  1.66393840e+01 -4.60726977e+03]
[ 1.62783087e+00  1.27096240e-03  8.77215352e+01 -4.60726977e+03]
[ 1.63571538e+00 -8.74560788e-01  2.66168881e+01  3.98855660e+03]
[ 1.64975950e+00 -8.17941843e-01 -3.40604531e+01  3.98855660e+03]
[ 1.65593759e+00  1.51731886e-01 -9.43149594e+01  3.98855660e+03]
[ 1.64576613e+00  1.02311289e+00 -2.18541885e+01 -4.83009498e+03]
[ 1.63076030e+00  8.12669960e-01  5.01051317e+01 -4.83009498e+03]
[1.62309226e+00 3.00140057e-01 1.91773402e+01 2.09036959e+03]
[ 1.61964708e+00  2.44014223e-01 -1.15378900e+01  2.09036959e+03]
[ 1.61377493e+00  6.34966465e-01 -4.20427433e+01  2.09036959e+03]
[ 1.60294697e+00  6.66677095e-01  3.76668808e+01 -5.49970701e+03]
[ 1.59998683e+00 -4.45332206e-01  1.16834261e+02 -5.49970701e+03]
[ 1.60941498e+00 -2.52445670e-01 -1.43816599e+02  1.82308465e+04]
[ 1.60186341e+00  1.07907582e+00 -4.37131609e+01 -7.04921921e+03]
[ 1.58559157e+00  9.94424483e-01  5.57161749e+01 -7.04921921e+03]
[1.57557527e+00 5.46217758e-01 8.26606074e+00 3.38679030e+03]
[ 1.56725282e+00  7.59146469e-01 -3.88666637e+01  3.38679030e+03]
[   1.55340769    1.21768001  -27.4727818  -824.21867447]
[   1.53445197    1.51722575  -16.15460766 -824.21867447]
[   1.51260107    1.66090705   -4.91138798 -824.21867447]
[ 1.49202261e+00  1.20068006e+00  7.28364370e+01 -5.73741327e+03]
[ 1.48479182e+00 -2.99707626e-01  1.50072766e+02 -5.73741327e+03]
[ 1.49047757e+00  3.27479132e-01 -2.43867533e+02  2.94565680e+04]
[ 1.46824281e+00  2.74558067e+00 -1.20134773e+02 -9.31288645e+03]
[ 1.42510618e+00  3.52002203e+00  2.79191944e+00 -9.31288645e+03]
[ 1.38602832e+00  1.91788923e+00  2.41548835e+02 -1.82063700e+04]
[ 1.38825358e+00 -2.77458037e+00  4.78760395e+02 -1.82063700e+04]
[ 1.41946007e+00  1.41582895e+00 -1.12617863e+03  1.23981538e+05]
[ 1.35688892e+00  4.52075784e+00  6.43362171e+02 -1.37581801e+05]
[ 1.32963943e+00  1.46629038e+00 -1.65328186e+02  6.32813214e+04]
[ 1.30177990e+00  2.59999928e+00 -1.32419437e+01 -1.19775280e+04]
[ 1.27193161e+00  1.81376304e+00  1.37875604e+02 -1.19775280e+04]
[ 1.24846910e+00  2.85126482e+00 -3.03390614e+02  3.51980994e+04]
